"scientific_name","family","common_name","teleost_or_elasmo","mr_raw_mg_per_kg_per_h","mr_raw_data_or_mean","body_mass_in_grams","mass_raw_data_or_mean","trophic_position","tro_standard_error"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","156.32557","raw","63.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","173.00991","raw","65.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","215.60154","raw","61","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","266.44614","raw","37.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","207.20849","raw","71","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","187.99818","raw","59.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","142.91199","raw","60.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","259.00829","raw","60","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","147.26348","raw","62.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","90.32966","raw","95","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","202.07053","raw","33.9","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","77.93407","raw","65.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","88.80625","raw","93","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","81.1842","raw","60","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","155.51629","raw","49.6","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","241.82051","raw","76.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","195.54448","raw","70.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","219.45248","raw","55.5","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","141.33788","raw","73","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","166.4718","raw","60","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","92.95794","raw","78","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","146.3508","raw","44.2","raw","3.4","0.48"
"Heterodontus_portusjacksoni","heterodontidae","portjackson_shark","elasmo","159.37608","raw","48.5","raw","3.4","0.48"
"Acanthochromis_polyacanthus","pomacentridae","spiny_chromis","teleost","1007.7","mean","16.88","mean","2.7","0.3"
"Albula_vulpes","albulidae","bonefish","teleost","154300","mean","672.43","mean","3.7","0.28"
"Argyrosomus_japonicus","sciaenidae","mulloway","teleost","95630","mean","390","mean","4.5","0.61"
"Caranx_caballus","carangidae","green_jack","teleost","78430","mean","189.7","mean","4","0.54"
"Dascyllus_reticulatus","pomacentridae","reticulate_dascyllus","teleost","1835","mean","7.52","mean","3.1","0.31"
"Dascyllus_reticulatus","pomacentridae","reticulate_dascyllus","teleost","938","mean","7.52","mean","3.1","0.31"
"Forsterygion_lapillum","tripterygiidae","common_triplefin","teleost","550","mean","2.1","mean","3.2","0.45"
"Gadus_macrocephalus","gadidae","pacific_cod","teleost","147.2625","mean","1500","mean","4.2","0.15"
"Gadus_macrocephalus","gadidae","pacific_cod","teleost","187.3125","mean","1500","mean","4.2","0.15"
"Gasterosteus_aculeatus","gasterosteidae","three-spined_stickleback","teleost","1258240","mean","3.33","mean","3.3","0.18"
"Kuhlia_sandvicensis","kuhliidae","hawaiian_flagtail","teleost","584","mean","30","mean","3.8","0.56"
"Leiostomus_xanthurus","sciaenidae","spot_croaker","teleost","1098.3","mean","121","mean","3.2","0.07"
"Rhinecanthus_aculeatus","balistidae","white-banded_triggerfish","teleost","110330","mean","136","mean","3.2","0.14"
"Salmo_trutta","salmonidae","brown_trout","teleost","19.5648","mean","32.3","mean","3.4","0.1"
"Salmo_trutta","salmonidae","brown_trout","teleost","24.3072","mean","40.9","mean","3.4","0.1"
"Salmo_trutta","salmonidae","brown_trout","teleost","25.8816","mean","51.6","mean","3.4","0.1"
"Salmo_trutta","salmonidae","brown_trout","teleost","31.2768","mean","54","mean","3.4","0.1"
"Seriola_lalandi","carangidae","yellowtail_kingfish","teleost","562.8","mean","2000","mean","4.2","0.14"
"Oncorhynchus_mykiss","salmonidae","rainbow_trout","teleost","262.16","mean","73","mean","4.1","0.28"
"Oncorhynchus_mykiss","salmonidae","rainbow_trout","teleost","292.92","mean","69","mean","4.1","0.28"
"Oncorhynchus_mykiss","salmonidae","rainbow_trout","teleost","438.63","mean","66","mean","4.1","0.28"
"Lates_calcarifer","latidae","barramundi","teleost","404.4","mean","89.9","raw","3.8","0.6"
"Ostorhinchus_doederleini","apogonidae","fourline_cardinalfish","teleost","606","mean","2.68","mean","3.6","0.56"
"Ostorhinchus_doederleini","apogonidae","fourline_cardinalfish","teleost","439","mean","2.68","mean","3.6","0.56"
"Ostorhinchus_doederleini","apogonidae","fourline_cardinalfish","teleost","419","mean","2.68","mean","3.6","0.56"
